AMC1                   ALIMENTATORE MCPX-RSS 24V
AB1                    CARICA BATTERIA 24V
BC                     BATTERIA ALLARME EMERGENZA 2X12V 2.2AH = 24V
F1                     FUSIBILE 4A TR1
F2                     FUSIBILE 4A CIRCUITO MANOVRA
F3                     FUSIBILE 4A CIRCUITO VALVOLE
F4                     FUSIBILE 4A ALIMENTAZIONE SERRATURE 24V
F5                     FUSIBILE 4A CIRCUITO LUMINOSE
VA                     VALVOLA MAGNETOTERMICA PROTEZIONE CIRCUITO MANOVRA
TRF                    TRASFORMATORE MONOFASE ALIMENTAZIONE QUADRO
MCP2015X-SMD           SCHEDA MADRE MICROPROCESSORE
TH                     RELE' TERMICO
P                      TELERUTTORE PROTEZIONE
DIS                    TELERUTTORE DISCESA
SAL                    TELERUTTORE SALITA
PV                     RELÈ BASSA VELOCITÀ
RP                     RELÈ PARTENZA
RSS                    RELÈ SICUREZZA
TM                     RELÈ TENSIONE MANOVRA
RSX                    RELE'AUSILIARIO RSS
ROC                    RELE' OCCUPATO
RD1                    RADDRIZZATORE MANOVRA
IS                     INDUTTORE N.O. CONTEGGIO SALITA E FERMATA
ID                     INDUTTORE N.O. CONTEGGIO DISCESA E FERMATA
FCS                    BISTABILE FINECORSA SALITA
FCD                    BISTABILE FINECORSA DISCESA
IP1 - IP2              INDUTTORE DOPPIO N.O. ZONA DI SICUREZZA

IAX                    INDUTTORE N.O. PER FERMATA PIANO ESTREMO CORTO
